# Decomp Progress Matrix
# Total: 3861 matched / 20508 functions
# Coverage: 18.8%

TU Name                                  Matched Total      %  Bar
------------------------------------------------------------------------------------------
animeventhandlersupport                     0/9      0.0%  [..................................................]
appmain                                    18/42    42.9%  [#####################.............................]
aptauxpceorgl                              30/72    41.7%  [####################..............................]
aptstring                                   3/36     8.3%  [####..............................................]
aptviewer                                  13/39    33.3%  [################..................................]
awarenessmanager                           13/53    24.5%  [############......................................]
bg                                          7/21    33.3%  [################..................................]
boneparticle                                0/5      0.0%  [..................................................]
camera                                     36/152   23.7%  [###########.......................................]
cameramanager                               4/9     44.4%  [######################............................]
cheats                                     12/25    48.0%  [########################..........................]
e_simsdataman                              10/32    31.2%  [###############...................................]
eorhouse                                    6/33    18.2%  [#########.........................................]
eroom                                      40/147   27.2%  [#############.....................................]
esim                                       30/88    34.1%  [#################.................................]
esimscratchpadman                           1/5     20.0%  [##########........................................]
espriterender                               6/18    33.3%  [################..................................]
espriterenderman                            3/10    30.0%  [###############...................................]
ewallutil                                   0/8      0.0%  [..................................................]
eyetoyclient                               13/66    19.7%  [#########.........................................]
ezodiac                                     0/12     0.0%  [..................................................]
flashpimenu                                 4/22    18.2%  [#########.........................................]
gamedata                                    5/50    10.0%  [#####.............................................]
gameeffectsmanager                          3/13    23.1%  [###########.......................................]
global                                     19/106   17.9%  [########..........................................]
hoodmanager                                 1/16     6.2%  [###...............................................]
houserecon                                  0/9      0.0%  [..................................................]
ifloor                                      9/57    15.8%  [#######...........................................]
influencemap                                1/16     6.2%  [###...............................................]
intersection                                0/7      0.0%  [..................................................]
inventory                                  13/56    23.2%  [###########.......................................]
iobject                                    47/178   26.4%  [#############.....................................]
iobjectman                                  1/21     4.8%  [##................................................]
iobjtileboundrect                           0/10     0.0%  [..................................................]
isiminstance                               28/52    53.8%  [##########################........................]
loadingscreen                               3/11    27.3%  [#############.....................................]
memorymeterwin                              3/9     33.3%  [################..................................]
morphutilities                              1/11     9.1%  [####..............................................]
movieplayer                                 1/8     12.5%  [######............................................]
optionsrecon                                5/13    38.5%  [###################...............................]
physics                                     2/5     40.0%  [####################..............................]
player                                      3/8     37.5%  [##################................................]
plumbbob                                    2/37     5.4%  [##................................................]
plumbbobmodel                               0/8      0.0%  [..................................................]
plumbbobowner                               0/5      0.0%  [..................................................]
sanimator2                                 43/229   18.8%  [#########.........................................]
scrollingtextbox                            3/13    23.1%  [###########.......................................]
simhead                                     2/14    14.3%  [#######...........................................]
simimagemaker                               4/23    17.4%  [########..........................................]
simmodel                                    4/70     5.7%  [##................................................]
simrenderer                                 0/5      0.0%  [..................................................]
simsmemcardwrap                             3/36     8.3%  [####..............................................]
skincompositor                              1/15     6.7%  [###...............................................]
timer                                       4/8     50.0%  [#########################.........................]
unlockdisplay                               8/30    26.7%  [#############.....................................]
unlockdisplayobject                        15/30    50.0%  [#########################.........................]
unlockdisplayobjectsim                      3/9     33.3%  [################..................................]
weather                                     0/8      0.0%  [..................................................]
