# Sims 2 GC Decomp — TU Work Queue
# Generated: 2026-03-29
# 439 TUs | 4654/16211 matched (28%)
# Unmatched functions: 11557
#
# Size distribution (unmatched):
#   <=20 bytes  (getter/setter tier): 517
#   <=100 bytes (easy grind tier):    4355
#   <=500 bytes (medium tier):        9993
#   >500 bytes  (complex tier):       1564
#
# Sorted by TU completion % DESC (closest-to-done first = easiest wins)
# TU_NAME | FUNC_ADDRESS | SIZE | FUNC_NAME | TU_COMPLETION_%
#==========================================================================================


# --- e_resource [44/45, 97.8%] ---
e_resource | 0x80311DC8 |    48 | EResource::EResource(void) | 97.8%

# --- quickresfile [36/37, 97.3%] ---
quickresfile | 0x80132C60 |   188 | QuickResFile::GetString(StringBuffer &, short, short) | 97.3%

# --- isiminstance [46/49, 93.9%] ---
isiminstance | 0x800567E4 |    20 | IBaseSimInstance::IBaseSimInstance(void) | 93.9%
isiminstance | 0x80056A18 |    24 | ISimInstance::HasModel(void) | 93.9%
isiminstance | 0x80056628 |   272 | ISimInstance::HasInteractions(int) | 93.9%

# --- e_rflash [30/33, 90.9%] ---
e_rflash | 0x803135C0 |   264 | FlashBigFile::~FlashBigFile(void) | 90.9%
e_rflash | 0x80313A38 |   444 | FlashBigFile::CreateTexture(int) | 90.9%
e_rflash | 0x8031373C |   524 | FlashBigFile::LoadFiles(EFile *) | 90.9%

# --- socialmodeinteractor [19/21, 90.5%] ---
socialmodeinteractor | 0x8021F548 |    44 | InteractorModule::SocialModeInteractor::ChooseAction(Interaction *) | 90.5%
socialmodeinteractor | 0x8021F164 |    52 | InteractorModule::SocialModeInteractor::~SocialModeInteractor(void) | 90.5%

# --- effects_attachmentman [7/8, 87.5%] ---
effects_attachmentman | 0x803287F0 |    84 | EffectsAttachmentManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 87.5%

# --- e_ambientscoreman [7/8, 87.5%] ---
e_ambientscoreman | 0x80322BC0 |    88 | EAmbientScoreManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 87.5%

# --- e_animman [7/8, 87.5%] ---
e_animman | 0x80322D44 |    88 | EAnimManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 87.5%

# --- e_modelman [7/8, 87.5%] ---
e_modelman | 0x80324EF4 |    88 | EModelManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 87.5%

# --- e_soundeventman [7/8, 87.5%] ---
e_soundeventman | 0x80328394 |    88 | ESoundEventManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 87.5%

# --- e_edithtreesetman [7/8, 87.5%] ---
e_edithtreesetman | 0x80324A6C |    92 | EEdithTreeSetMan::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 87.5%

# --- e_flashman [7/8, 87.5%] ---
e_flashman | 0x80324BF4 |    96 | EFlashManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 87.5%

# --- e_shaderman [7/8, 87.5%] ---
e_shaderman | 0x803281FC |   108 | EShaderManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 87.5%

# --- e_movieman [7/8, 87.5%] ---
e_movieman | 0x80325058 |   188 | EMovieMan::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 87.5%

# --- e_soundtrackdataman [6/7, 85.7%] ---
e_soundtrackdataman | 0x803284F8 |    84 | ESoundTrackDataManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 85.7%

# --- e_binaryman [6/7, 85.7%] ---
e_binaryman | 0x803230C4 |    92 | EBinaryManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 85.7%

# --- interaction [54/63, 85.7%] ---
interaction | 0x800C1CBC |   100 | Interaction::GetCTilePt(void) const | 85.7%

# --- e_characterman [6/7, 85.7%] ---
e_characterman | 0x80323224 |   108 | ECharacterManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 85.7%

# --- interaction [54/63, 85.7%] ---
interaction | 0x800C182C |   112 | Interaction::GetEntry(void) const | 85.7%
interaction | 0x800C1140 |   144 | Interaction::Interaction(void) | 85.7%
interaction | 0x800C18B0 |   176 | Interaction::GetName(void) const | 85.7%
interaction | 0x800C122C |   204 | Interaction::Interaction(cXPerson *, cXObject *, int) | 85.7%
interaction | 0x800C199C |   204 | Interaction::SetName(int, int) | 85.7%
interaction | 0x800C1574 |   424 | Interaction::Interaction(cXPerson *, cXObject *, int, int) | 85.7%
interaction | 0x800C1A68 |   524 | Interaction::DoStream(ReconBuffer *, int) | 85.7%
interaction | 0x800C12F8 |   636 | Interaction::Interaction(cXPerson *, cXPerson *) | 85.7%

# --- e_cheatmenu [5/6, 83.3%] ---
e_cheatmenu | 0x80303D0C |    60 | CheatMenuParams::Add(EDebugMenuItem &) | 83.3%

# --- effects_emitterman [5/6, 83.3%] ---
effects_emitterman | 0x80328958 |    84 | EffectsEmitterManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 83.3%

# --- effects_sequencerman [5/6, 83.3%] ---
effects_sequencerman | 0x80328AB0 |    84 | EffectsSequencerManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 83.3%

# --- e_fontman [5/6, 83.3%] ---
e_fontman | 0x80324D60 |   112 | EFontManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 83.3%

# --- treetablequickdata [97/119, 81.5%] ---
treetablequickdata | 0x8015E6E4 |    24 | TreeTableEntryQuickData::GetManualOnly(void) const | 81.5%
treetablequickdata | 0x8015DC9C |    28 | TreeTableEntryQuickData::GetName(void) const | 81.5%
treetablequickdata | 0x8015E5FC |    28 | TreeTableEntryQuickData::GetAvailableToVisitors(void) const | 81.5%
treetablequickdata | 0x8015E8CC |    28 | TreeTableQuickData::GetID(void) const | 81.5%
treetablequickdata | 0x8015E92C |    28 | TreeTableQuickData::GetPrefixCheckTreeID(void) const | 81.5%
treetablequickdata | 0x8015E900 |    44 | TreeTableQuickData::CountEntries(void) const | 81.5%
treetablequickdata | 0x8015E688 |    60 | TreeTableEntryQuickData::GetDebugOnly(void) const | 81.5%
treetablequickdata | 0x8015E340 |    92 | TreeTableAdQuickData::Release(void) | 81.5%
treetablequickdata | 0x8015E420 |    92 | TreeTableEntryQuickData::Release(void) | 81.5%
