MISSING FUNCTIONS REPORT
================================================================================

Total functions in symbols.txt: 18539
Functions in asm_decomp: 10876
Functions matched: 9880
Missing functions: 1261

ALL MISSING FUNCTIONS (sorted by size):
--------------------------------------------------------------------------------
0x8024BACC      4B  __OSDBJUMPSTART
0x8023EE40      8B  PCinit
0x8023EE48      8B  PCcreat
0x8023EE50      8B  PCopen
0x8023EE58      8B  PCclose
0x8023EE60      8B  PCread
0x8023EE68      8B  PCwrite
0x8023EE70      8B  PClseek
0x8023EE78      8B  PCsync
0x8023EE80      8B  PCreadAsync
0x8023EE88      8B  PCwriteAsync
0x8023EE90      8B  PCreadAsync2
0x8023EE98      8B  PCwriteAsync2
0x80249640      8B  _exit
0x8024AE30      8B  PPCMfmsr
0x8024AE38      8B  PPCMtmsr
0x8024AE64      8B  PPCMfhid0
0x8024AE6C      8B  PPCMthid0
0x8024AE74      8B  PPCMfhid1
0x8024AE7C      8B  PPCMfl2cr
0x8024AE84      8B  PPCMtl2cr
0x8024AE8C      8B  PPCMtdec
0x8024AE94      8B  PPCMfdec
0x8024AE9C      8B  PPCSync
0x8024AEEC      8B  PPCMfmmcr0
0x8024AEF4      8B  PPCMtmmcr0
0x8024AEFC      8B  PPCMfmmcr1
0x8024AF04      8B  PPCMtmmcr1
0x8024AF0C      8B  PPCMfpmc1
0x8024AF14      8B  PPCMtpmc1
0x8024AF1C      8B  PPCMfpmc2
0x8024AF24      8B  PPCMtpmc2
0x8024AF2C      8B  PPCMfpmc3
0x8024AF34      8B  PPCMtpmc3
0x8024AF3C      8B  PPCMfpmc4
0x8024AF44      8B  PPCMtpmc4
0x8024AF4C      8B  PPCMfsia
0x8024AF54      8B  PPCMtsia
0x8024AFA4      8B  PPCMfhid2
0x8024AFAC      8B  PPCMthid2
0x8024AFC0      8B  PPCMtwpar
0x8024AFC8      8B  PPCMfdmaU
0x8024AFD0      8B  PPCMfdmaL
0x8024AFD8      8B  PPCMtdmaU
0x8024AFE0      8B  PPCMtdmaL
0x8024AFE8      8B  PPCMfpvr
0x8024B040      8B  PPCSetFpIEEEMode
0x8024B048      8B  PPCSetFpNonIEEEMode
0x8024CABC      8B  DCTouchLoad
0x8024CAC4      8B  DCBlockZero
0x8024CACC      8B  DCBlockStore
0x8024CAD4      8B  DCBlockFlush
