# CBMemberTranslator Type Table
# Generated: 04/07/2026 06:03:56
# Format: ADDR  SIZE  TEMPLATE_TYPE  T_PARAM  M_SIGNATURE

0x8031cff8  120  CBMemberTranslator1wRet  char_*(PCTTarget::*)(PCTTarget_*  char_*)
0x8031d070  120  CBMemberTranslator2  char_*  char_*)
0x8031ce7c  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031cd8c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(PAZBase::*)(PAZBase_*  char_*)
0x8031ce04  120  CBMemberTranslator0  ?  ?
0x8031d250  120  CBMemberTranslator1  void_(PCTTarget::*)(PCTTarget_*  int)
0x8031d2c8  120  CBMemberTranslator1wRet  char_*(PRGTarget::*)(PRGTarget_*  char_*)
0x8031d1d8  120  CBMemberTranslator1  void_(PCTTarget::*)(PCTTarget_*  ERC_*)
0x8031d0e8  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(PCTTarget::*)(PCTTarget_*  char_*)
0x8031d160  120  CBMemberTranslator0  ?  ?
0x8031cd14  120  CBMemberTranslator2  char_*  char_*)
0x8031c9b4  120  CBMemberTranslator0  ?  ?
0x8031ca44  120  CBMemberTranslator1wRet  char_*(PAZBase::*)(PAZBase_*  char_*)
0x8031c93c  120  CBMemberTranslator1  void_(O2TTarget::*)(O2TTarget_*  int)
0x8031c84c  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031c8c4  120  CBMemberTranslator1  void_(UIDialog::*)(UIDialog_*  int)
0x8031cc24  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031cc9c  120  CBMemberTranslator1wRet  char_*(PAZBase::*)(PAZBase_*  char_*)
0x8031cbac  120  CBMemberTranslator0  ?  ?
0x8031cabc  120  CBMemberTranslator2  char_*  char_*)
0x8031cb34  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(PAZBase::*)(PAZBase_*  char_*)
0x8031d9d0  120  CBMemberTranslator1  void_(RCPTarget::*)(RCPTarget_*  ERC_*)
0x8031da48  120  CBMemberTranslator1wRet  char_*(RMDTarget::*)(RMDTarget_*  char_*)
0x8031d958  120  CBMemberTranslator0  ?  ?
0x8031d868  120  CBMemberTranslator2  char_*  char_*)
0x8031d8e0  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(RCPTarget::*)(RCPTarget_*  char_*)
0x8031dc28  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031dca0  120  CBMemberTranslator1wRet  char_*(SKLTarget::*)(SKLTarget_*  char_*)
0x8031dbb0  120  CBMemberTranslator0  ?  ?
0x8031dac0  120  CBMemberTranslator2  char_*  char_*)
0x8031db38  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(RMDTarget::*)(RMDTarget_*  char_*)
0x8031d7f0  120  CBMemberTranslator1wRet  char_*(RCPTarget::*)(RCPTarget_*  char_*)
0x8031d4a8  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031d520  120  CBMemberTranslator1wRet  char_*(R2LTarget::*)(R2LTarget_*  char_*)
0x8031d430  120  CBMemberTranslator0  ?  ?
0x8031d340  120  CBMemberTranslator2  char_*  char_*)
0x8031d3b8  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(PRGTarget::*)(PRGTarget_*  char_*)
0x8031d700  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031d778  120  CBMemberTranslator1  void_(R2LTarget::*)(R2LTarget_*  int)
0x8031d688  120  CBMemberTranslator0  ?  ?
0x8031d598  120  CBMemberTranslator2  char_*  char_*)
0x8031d610  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(R2LTarget::*)(R2LTarget_*  char_*)
0x8031bb2c  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031bba4  120  CBMemberTranslator1  void_(M2MTarget::*)(M2MTarget_*  int)
0x8031bab4  120  CBMemberTranslator0  ?  ?
0x8031b9c4  120  CBMemberTranslator2  char_*  char_*)
0x8031ba3c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(M2MTarget::*)(M2MTarget_*  char_*)
0x8031bd84  120  CBMemberTranslator0  ?  ?
0x8031bdfc  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031bd0c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(MDITarget::*)(MDITarget_*  char_*)
0x8031bc1c  120  CBMemberTranslator1wRet  char_*(MDITarget::*)(MDITarget_*  char_*)
0x8031bc94  120  CBMemberTranslator2  char_*  char_*)
0x8031b94c  120  CBMemberTranslator1wRet  char_*(M2MTarget::*)(M2MTarget_*  char_*)
0x8031b5e4  120  CBMemberTranslator0  ?  ?
0x8031b65c  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031b56c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(ITBTarget::*)(ITBTarget_*  char_*)
0x8031b47c  120  CBMemberTranslator1wRet  char_*(ITBTarget::*)(ITBTarget_*  char_*)
0x8031b4f4  120  CBMemberTranslator2  char_*  char_*)
0x8031b85c  120  CBMemberTranslator0  ?  ?
0x8031b8d4  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031b7e4  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(K2YTarget::*)(K2YTarget_*  char_*)
0x8031b6f4  120  CBMemberTranslator1wRet  char_*(K2YTarget::*)(K2YTarget_*  char_*)
0x8031b76c  120  CBMemberTranslator2  char_*  char_*)
0x8031c504  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(MOTTarget::*)(MOTTarget_*  char_*)
0x8031c57c  120  CBMemberTranslator0  ?  ?
0x8031c48c  120  CBMemberTranslator2  char_*  char_*)
0x8031c39c  120  CBMemberTranslator2  ERC_*  structDrawCBparams_*)
0x8031c414  120  CBMemberTranslator1wRet  char_*(MOTTarget::*)(MOTTarget_*  char_*)
0x8031c75c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(O2TTarget::*)(O2TTarget_*  char_*)
0x8031c7d4  120  CBMemberTranslator0  ?  ?
0x8031c6e4  120  CBMemberTranslator2  char_*  char_*)
0x8031c5f4  120  CBMemberTranslator1  void_(MOTTarget::*)(MOTTarget_*  ERC_*)
0x8031c66c  120  CBMemberTranslator1wRet  char_*(O2TTarget::*)(O2TTarget_*  char_*)
0x8031c324  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031bfdc  120  CBMemberTranslator0  ?  ?
0x8031c054  120  CBMemberTranslator1  void_(MMUTarget::*)(MMUTarget_*  ERC_*)
0x8031bf64  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(MMUTarget::*)(MMUTarget_*  char_*)
0x8031be74  120  CBMemberTranslator1wRet  char_*(MMUTarget::*)(MMUTarget_*  char_*)
0x8031beec  120  CBMemberTranslator2  char_*  char_*)
0x8031c234  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(MODTarget::*)(MODTarget_*  char_*)
0x8031c2ac  120  CBMemberTranslator0  ?  ?
0x8031c1bc  120  CBMemberTranslator2  char_*  char_*)
0x8031c0cc  120  CBMemberTranslator1  void_(MMUTarget::*)(MMUTarget_*  int)
0x8031c144  120  CBMemberTranslator1wRet  char_*(MODTarget::*)(MODTarget_*  char_*)
0x8034d85c  120  CBMemberTranslator0  ?  ?
0x8034d8d4  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8034d7e4  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8034d6f4  120  CBMemberTranslator1wRet  char_*(OPTTarget::*)(OPTTarget_*  char_*)
0x8034d76c  120  CBMemberTranslator2  char_*  char_*)
0x8034dab4  120  CBMemberTranslator0  ?  ?
0x8034db2c  120  CBMemberTranslator1  void_(PDATarget::*)(PDATarget_*  ERC_*)
0x8034da3c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8034d94c  120  CBMemberTranslator1wRet  char_*(PDATarget::*)(PDATarget_*  char_*)
0x8034d9c4  120  CBMemberTranslator2  char_*  char_*)
0x8034d67c  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8034d334  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8034d3ac  120  CBMemberTranslator0  ?  ?
0x8034d2bc  120  CBMemberTranslator2  char_*  char_*)
0x8034d1cc  120  CBMemberTranslator1  void_(INTTarget::*)(INTTarget_*  ERC_*)
0x8034d244  120  CBMemberTranslator1wRet  char_*(KEYTarget::*)(KEYTarget_*  char_*)
0x8034d58c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(MSGTarget::*)(MSGTarget_*  char_*)
0x8034d604  120  CBMemberTranslator0  ?  ?
0x8034d514  120  CBMemberTranslator2  char_*  char_*)
0x8034d424  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8034d49c  120  CBMemberTranslator1wRet  char_*(MSGTarget::*)(MSGTarget_*  char_*)
0x8034e2c4  120  CBMemberTranslator0  ?  ?
0x8034e33c  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8034e24c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8034e15c  120  CBMemberTranslator1wRet  char_*(RGTTarget::*)(RGTTarget_*  char_*)
0x8034e1d4  120  CBMemberTranslator2  char_*  char_*)
0x8034e51c  120  CBMemberTranslator0  ?  ?
0x8034e594  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8034e4a4  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8034e3b4  120  CBMemberTranslator1wRet  char_*(SKNTarget::*)(SKNTarget_*  char_*)
0x8034e42c  120  CBMemberTranslator2  char_*  char_*)
0x8034e0e4  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8034dd9c  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8034de14  120  CBMemberTranslator0  ?  ?
0x8034dd24  120  CBMemberTranslator2  char_*  char_*)
0x8034dba4  120  CBMemberTranslator1  void_(PDATarget::*)(PDATarget_*  int)
0x8034dcac  120  CBMemberTranslator1wRet  char_*(PSETarget::*)(PSETarget_*  char_*)
0x8034dff4  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(RELTarget::*)(RELTarget_*  char_*)
0x8034e06c  120  CBMemberTranslator0  ?  ?
0x8034df7c  120  CBMemberTranslator2  char_*  char_*)
0x8034de8c  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8034df04  120  CBMemberTranslator1wRet  char_*(RELTarget::*)(RELTarget_*  char_*)
0x8034c334  120  CBMemberTranslator1wRet  char_*(EYETarget::*)(EYETarget_*  char_*)
0x8034c3ac  120  CBMemberTranslator2  char_*  char_*)
0x8031e330  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031e240  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(WXFTarget::*)(WXFTarget_*  char_*)
0x8031e2b8  120  CBMemberTranslator0  ?  ?
0x8034c58c  120  CBMemberTranslator2  ERC_*  structDrawCBparams_*)
0x8034c604  120  CBMemberTranslator1wRet  char_*(FONTarget::*)(FONTarget_*  char_*)
0x8034c514  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8034c424  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x8034c49c  120  CBMemberTranslator0  ?  ?
0x8031e1c8  120  CBMemberTranslator2  char_*  char_*)
0x8031de80  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031def8  120  CBMemberTranslator1wRet  char_*(WAFTarget::*)(WAFTarget_*  char_*)
0x8031de08  120  CBMemberTranslator0  ?  ?
0x8031dd18  120  CBMemberTranslator2  char_*  char_*)
0x8031dd90  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(SKLTarget::*)(SKLTarget_*  char_*)
0x8031e0d8  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031e150  120  CBMemberTranslator1wRet  char_*(WXFTarget::*)(WXFTarget_*  char_*)
0x8031e060  120  CBMemberTranslator0  ?  ?
0x8031df70  120  CBMemberTranslator2  char_*  char_*)
0x8031dfe8  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(WAFTarget::*)(WAFTarget_*  char_*)
0x8034ce44  120  CBMemberTranslator2  char_*  char_*)
